K,n,max_support,avg_row_support,s_eff,rate,rep,predictor,loss
100,500,2,1.44,52.05862499999999,0.9912178238741882,29,add-half,1.540445040947149
100,500,2,1.44,52.05862499999999,0.9912178238741882,29,adaptive,0.07333903709084473
100,500,2,1.44,52.05862499999999,0.9912178238741882,29,cesaro,0.1852487974249606
100,500,2,1.44,52.05862499999999,0.9912178238741882,29,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,30,MLE,9.900125164598493e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,30,add-one,3.9219733362813143
100,500,2,1.44,52.05862499999999,0.9912178238741882,30,add-half,3.5263605246161616
100,500,2,1.44,52.05862499999999,0.9912178238741882,30,adaptive,0.6831968497067772
100,500,2,1.44,52.05862499999999,0.9912178238741882,30,cesaro,1.5560393357094076
100,500,2,1.44,52.05862499999999,0.9912178238741882,30,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,31,MLE,0.07091509781761274
100,500,2,1.44,52.05862499999999,0.9912178238741882,31,add-one,1.6848587322135025
100,500,2,1.44,52.05862499999999,0.9912178238741882,31,add-half,1.205647416222377
100,500,2,1.44,52.05862499999999,0.9912178238741882,31,adaptive,0.15583371760114606
100,500,2,1.44,52.05862499999999,0.9912178238741882,31,cesaro,0.3702399374890829
100,500,2,1.44,52.05862499999999,0.9912178238741882,31,support-oracle,0.06447551313547162
100,500,2,1.44,52.05862499999999,0.9912178238741882,32,MLE,9.900236186900967e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,32,add-one,1.8718021769015913
100,500,2,1.44,52.05862499999999,0.9912178238741882,32,add-half,1.3424917384614978
100,500,2,1.44,52.05862499999999,0.9912178238741882,32,adaptive,0.05657035148839423
100,500,2,1.44,52.05862499999999,0.9912178238741882,32,cesaro,0.1872897747434735
100,500,2,1.44,52.05862499999999,0.9912178238741882,32,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,33,MLE,0.02218642586949582
100,500,2,1.44,52.05862499999999,0.9912178238741882,33,add-one,1.1056002655960966
100,500,2,1.44,52.05862499999999,0.9912178238741882,33,add-half,0.714417933652889
100,500,2,1.44,52.05862499999999,0.9912178238741882,33,adaptive,0.06213767258155767
100,500,2,1.44,52.05862499999999,0.9912178238741882,33,cesaro,0.14008952042038936
100,500,2,1.44,52.05862499999999,0.9912178238741882,33,support-oracle,0.021270753092943684
100,500,2,1.44,52.05862499999999,0.9912178238741882,34,MLE,0.015356293441772473
100,500,2,1.44,52.05862499999999,0.9912178238741882,34,add-one,1.1264910492837936
100,500,2,1.44,52.05862499999999,0.9912178238741882,34,add-half,0.7289007757867777
100,500,2,1.44,52.05862499999999,0.9912178238741882,34,adaptive,0.05701963552329714
100,500,2,1.44,52.05862499999999,0.9912178238741882,34,cesaro,0.17759754652732251
100,500,2,1.44,52.05862499999999,0.9912178238741882,34,support-oracle,0.014700186029000029
100,500,2,1.44,52.05862499999999,0.9912178238741882,35,MLE,0.09289388248322317
100,500,2,1.44,52.05862499999999,0.9912178238741882,35,add-one,1.890672340893015
100,500,2,1.44,52.05862499999999,0.9912178238741882,35,add-half,1.3963070705576803
100,500,2,1.44,52.05862499999999,0.9912178238741882,35,adaptive,0.20129086720114553
100,500,2,1.44,52.05862499999999,0.9912178238741882,35,cesaro,0.40603348426751096
100,500,2,1.44,52.05862499999999,0.9912178238741882,35,support-oracle,0.08198620906287912
100,500,2,1.44,52.05862499999999,0.9912178238741882,36,MLE,0.001545596382835357
100,500,2,1.44,52.05862499999999,0.9912178238741882,36,add-one,1.276455689451029
100,500,2,1.44,52.05862499999999,0.9912178238741882,36,add-half,0.8448924424439778
100,500,2,1.44,52.05862499999999,0.9912178238741882,36,adaptive,0.05449888903520428
100,500,2,1.44,52.05862499999999,0.9912178238741882,36,cesaro,0.17992583059868006
100,500,2,1.44,52.05862499999999,0.9912178238741882,36,support-oracle,0.0014630588346945528
100,500,2,1.44,52.05862499999999,0.9912178238741882,37,MLE,9.900613662729377e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,37,add-one,1.133459019998278
100,500,2,1.44,52.05862499999999,0.9912178238741882,37,add-half,0.7248958788745256
100,500,2,1.44,52.05862499999999,0.9912178238741882,37,adaptive,0.021288837542681405
100,500,2,1.44,52.05862499999999,0.9912178238741882,37,cesaro,0.11692901638350536
100,500,2,1.44,52.05862499999999,0.9912178238741882,37,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,38,MLE,0.006968754019889722
100,500,2,1.44,52.05862499999999,0.9912178238741882,38,add-one,1.3205321214940797
100,500,2,1.44,52.05862499999999,0.9912178238741882,38,add-half,0.8820423735359172
100,500,2,1.44,52.05862499999999,0.9912178238741882,38,adaptive,0.06293490616954822
100,500,2,1.44,52.05862499999999,0.9912178238741882,38,cesaro,0.14582884182246658
100,500,2,1.44,52.05862499999999,0.9912178238741882,38,support-oracle,0.0065736361820173395
100,500,2,1.44,52.05862499999999,0.9912178238741882,39,MLE,9.900236186900967e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,39,add-one,1.7833912195575383
100,500,2,1.44,52.05862499999999,0.9912178238741882,39,add-half,1.2636920390275583
