K,n,max_support,avg_row_support,s_eff,rate,predictor,mean_loss,se_loss,median_loss,mean_ratio_to_rate,reps
200,2000,20,10.85,1485.932074382761,4.153137178401278,support-oracle,0.17493022199409056,0.009638861127080397,0.1895578117759038,0.042120020235264365,100
100,1000,40,21.07,938.5396010278256,4.157210057874252,MLE,13.242903687275124,0.5679347445799203,14.93199465663638,3.1855267121254753,100
100,1000,40,21.07,938.5396010278256,4.157210057874252,adaptive,1.1764384369791556,0.03216089770968805,1.1888898478202912,0.2829874893501811,100
100,1000,40,21.07,938.5396010278256,4.157210057874252,add-half,1.241900054945188,0.034692739079307214,1.1347475955299218,0.29873401575965136,100
100,1000,40,21.07,938.5396010278256,4.157210057874252,add-one,1.3502844691995022,0.043049094236086334,1.2179385613399667,0.3248054465378535,100
100,1000,40,21.07,938.5396010278256,4.157210057874252,cesaro,1.2779166146933303,0.022327337418186148,1.2486232630738034,0.3073976529698815,100
100,1000,40,21.07,938.5396010278256,4.157210057874252,support-oracle,0.1795040265290738,0.006160523099217326,0.17173051352601565,0.04317896474561629,100
100,500,10,6.04,393.3926524997556,4.307910767567554,MLE,9.317529120109455,0.7022308657018208,8.342941940466389,2.162888142961829,100
100,500,10,6.04,393.3926524997556,4.307910767567554,adaptive,1.4344443843563197,0.08035281512843681,1.3080347317814298,0.33297913112677435,100
100,500,10,6.04,393.3926524997556,4.307910767567554,add-half,2.094128112196406,0.042191863438450716,1.9874069655575806,0.48611223054159214,100
100,500,10,6.04,393.3926524997556,4.307910767567554,add-one,2.3516255261783146,0.038394720289169765,2.2486316084218614,0.5458853846005152,100
100,500,10,6.04,393.3926524997556,4.307910767567554,cesaro,1.57752928571363,0.06416474147064921,1.5330380243858754,0.36619358450740985,100
100,500,10,6.04,393.3926524997556,4.307910767567554,support-oracle,0.17858042741580582,0.011227801945604474,0.15741882954797037,0.04145406835263689,100
100,500,20,8.81,398.60211594867474,4.343982631164687,MLE,9.526741600396086,0.7104035842319455,10.119127810914726,2.1930892476524066,100
100,500,20,8.81,398.60211594867474,4.343982631164687,adaptive,1.3683821163579382,0.07430708528047754,1.455081135358403,0.315006350748473,100
100,500,20,8.81,398.60211594867474,4.343982631164687,add-half,1.9997443070824619,0.05188682903931681,1.7939543906600388,0.4603481360021691,100
100,500,20,8.81,398.60211594867474,4.343982631164687,add-one,2.2269312731770277,0.05620862012710559,2.0440358895437534,0.5126473704569011,100
100,500,20,8.81,398.60211594867474,4.343982631164687,cesaro,1.5096162477449022,0.06150449211440544,1.5893552441128587,0.34751894193005817,100
100,500,20,8.81,398.60211594867474,4.343982631164687,support-oracle,0.14699650268054434,0.00969612276011123,0.1479207750452436,0.033839109214194155,100
200,2000,40,20.155,1707.2563794619414,4.534687531971599,MLE,12.50548557383151,0.6259799650174982,14.363713284814285,2.7577392015794207,100
200,2000,40,20.155,1707.2563794619414,4.534687531971599,adaptive,1.5298917738007558,0.05603467930510122,1.6355894009221401,0.33737534571331024,100
200,2000,40,20.155,1707.2563794619414,4.534687531971599,add-half,1.8893102766820582,0.03896116735531831,1.8282944758491066,0.41663516248067056,100
200,2000,40,20.155,1707.2563794619414,4.534687531971599,add-one,2.0647882651793297,0.04762035423978459,2.031199231355929,0.45533198277094905,100
200,2000,40,20.155,1707.2563794619414,4.534687531971599,cesaro,1.6409288573584058,0.04728536326712747,1.7062501589968697,0.3618615055147934,100
200,2000,40,20.155,1707.2563794619414,4.534687531971599,support-oracle,0.1793412500324031,0.007552381722952878,0.1747395291229763,0.03954875584435887,100
200,1000,10,5.68,737.9595296728454,4.64664486072783,MLE,8.647004824359396,0.6920737834064796,8.580629869632755,1.8609136449057069,100
200,1000,10,5.68,737.9595296728454,4.64664486072783,adaptive,1.6121634063879737,0.09489761243573645,1.8098540014539701,0.3469521460556492,100
200,1000,10,5.68,737.9595296728454,4.64664486072783,add-half,2.699634652597875,0.043178682090069184,2.6665269672660967,0.580985793731397,100
200,1000,10,5.68,737.9595296728454,4.64664486072783,add-one,2.9841212990248183,0.040199554415386,2.8670531682951705,0.6422098930447202,100
200,1000,10,5.68,737.9595296728454,4.64664486072783,cesaro,1.853593189002658,0.08202675620211064,1.9191135011014986,0.398910018854404,100
200,1000,10,5.68,737.9595296728454,4.64664486072783,support-oracle,0.16498523968866446,0.012426837960310553,0.14384103622589045,0.03550631576841057,100
200,500,5,3.03,330.7063593668465,4.767979527191049,MLE,5.296230580542407,0.683023139286837,0.16371873768062928,1.1107913845558322,100
200,500,5,3.03,330.7063593668465,4.767979527191049,adaptive,1.352856433648104,0.12823192421108978,0.6517503587988465,0.2837378864428786,100
200,500,5,3.03,330.7063593668465,4.767979527191049,add-half,3.091541624492836,0.05466199687682283,3.1198761357241347,0.6483965811644645,100
200,500,5,3.03,330.7063593668465,4.767979527191049,add-one,3.459400156427344,0.04369936543645509,3.450070582412283,0.7255484501766253,100
200,500,5,3.03,330.7063593668465,4.767979527191049,cesaro,1.6809817651833519,0.11778399757153976,1.4512879177491194,0.35255641422052536,100
200,500,5,3.03,330.7063593668465,4.767979527191049,support-oracle,0.0887248038793512,0.010545352797027677,0.03971230015220323,0.018608469976300734,100
200,1000,20,10.295,884.5902068946266,5.24928303496898,MLE,11.376231681242592,0.7069758167239367,12.728403648791213,2.1671972354048954,100
200,1000,20,10.295,884.5902068946266,5.24928303496898,adaptive,1.7622700484913432,0.08546386874226923,1.9286422431884203,0.33571633244991467,100
200,1000,20,10.295,884.5902068946266,5.24928303496898,add-half,2.5228032008422,0.04290311135202722,2.4347439846736623,0.48059957598706776,100
200,1000,20,10.295,884.5902068946266,5.24928303496898,add-one,2.7470100658402896,0.047584950319292676,2.7015688244532488,0.5233114784515563,100
200,1000,20,10.295,884.5902068946266,5.24928303496898,cesaro,1.9152177951615559,0.06846254059545895,2.0605702309200566,0.36485321564926315,100
200,1000,20,10.295,884.5902068946266,5.24928303496898,support-oracle,0.1500290143214097,0.008769071217668283,0.14713167635023838,0.028580858247110364,100
200,1000,40,20.23,925.6979053278468,5.409125128517707,MLE,15.618147454541822,0.7327177906863174,18.396085072887395,2.887370338726431,100
200,1000,40,20.23,925.6979053278468,5.409125128517707,adaptive,1.8957094571785071,0.07266190450794692,2.0557027247855677,0.3504650774640148,100
200,1000,40,20.23,925.6979053278468,5.409125128517707,add-half,2.192860920464765,0.051716907308226624,2.033587595674957,0.40540029456957427,100
200,1000,40,20.23,925.6979053278468,5.409125128517707,add-one,2.3350261604251905,0.06176579919436374,2.111110804281254,0.43168277770366,100
200,1000,40,20.23,925.6979053278468,5.409125128517707,cesaro,1.9337943269046818,0.05745352351182147,1.9694831086661142,0.35750593320709706,100
200,1000,40,20.23,925.6979053278468,5.409125128517707,support-oracle,0.12611586901322272,0.007139846691568105,0.12464233705567618,0.023315391309459865,100
200,500,10,5.585,448.3629203512038,5.918423586204514,MLE,12.164454187359201,0.7383906515779596,13.44591845712725,2.0553537627340166,100
