K,n,min_support,max_support,beta,avg_row_support,s_eff,rate,predictor,mean_loss,se_loss,median_loss,mean_ratio_to_rate,reps
200,1000,2,40,1.5,22.035,678.514715606615,4.386311084106946,add-half,2.4097189676265267,0.050792732559129625,2.3569558827779784,0.5493725641935736,100
200,1000,2,40,1.5,22.035,678.514715606615,4.386311084106946,add-one,2.700674239758046,0.04529709785154981,2.653845189827477,0.6157051307973757,100
200,1000,2,40,1.5,22.035,678.514715606615,4.386311084106946,cesaro,1.5504257664897643,0.07232832321564658,1.4436203281521818,0.35346917643563147,100
200,1000,2,40,1.5,22.035,678.514715606615,4.386311084106946,oracle,0.45395576341527993,0.02908703924438417,0.44897693808290895,0.10349374558957106,100
100,500,2,40,1.0,19.58,428.7514837642422,4.547504208304375,MLE,12.702755591203662,0.5880996544777767,13.280748181060448,2.7933466379221077,100
100,500,2,40,1.0,19.58,428.7514837642422,4.547504208304375,adaptive,1.3881541482531565,0.056619128780034,1.2047222316375534,0.3052562646821072,100
100,500,2,40,1.0,19.58,428.7514837642422,4.547504208304375,add-half,1.6750676578602037,0.04451109166408368,1.5947087556663888,0.3683487867479699,100
100,500,2,40,1.0,19.58,428.7514837642422,4.547504208304375,add-one,1.8413057578249485,0.04762104212005376,1.7841263242339238,0.40490468474168057,100
100,500,2,40,1.0,19.58,428.7514837642422,4.547504208304375,cesaro,1.4518449090736494,0.05001509252788302,1.3568517753780016,0.31926191655246383,100
100,500,2,40,1.0,19.58,428.7514837642422,4.547504208304375,oracle,0.3296138062577792,0.016692185380764467,0.3314537182043692,0.07248235321164928,100
200,2000,2,40,0.5,21.285,1735.3269189310076,4.580946361511535,MLE,12.443280539771298,0.5394974907987097,13.576350021942151,2.716312211013424,100
200,2000,2,40,0.5,21.285,1735.3269189310076,4.580946361511535,adaptive,1.5244448341047923,0.051039656200658125,1.5142277769216406,0.3327794551171702,100
200,2000,2,40,0.5,21.285,1735.3269189310076,4.580946361511535,add-half,1.893029863868454,0.0337971921294954,1.8375208745197924,0.41323991037603575,100
200,2000,2,40,0.5,21.285,1735.3269189310076,4.580946361511535,add-one,2.0699371144610863,0.04058218000994799,1.9584123635289648,0.4518579680068742,100
200,2000,2,40,0.5,21.285,1735.3269189310076,4.580946361511535,cesaro,1.6269442489841046,0.04094980714857586,1.6175206548113104,0.3551546166646832,100
200,2000,2,40,0.5,21.285,1735.3269189310076,4.580946361511535,oracle,0.1959785656068902,0.007227228729192095,0.20016603589109982,0.04278123997553747,100
